,name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
0,"Boston, MA, United States",2024-09-13,27.9,16.6,21.2,27.9,16.6,21.3,14.0,64.5,0.0,6,0.0,,0,0,22.3,20.3,191.4,1023.3,38.9,16.1,135.0,11.8,7,10,2024-09-13T06:22:36,2024-09-13T18:56:38,0.35,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KOWD,AV085,KBED,KBOS"
1,"Boston, MA, United States",2024-09-14,22.3,17.3,19.5,22.3,17.3,19.5,15.8,79.7,0.0,5,0.0,,0,0,24.1,16.6,53.8,1024.8,17.3,16.2,216.3,18.6,7,10,2024-09-14T06:23:39,2024-09-14T18:54:52,0.39,Clear,Clear conditions throughout the day.,clear-day,
2,"Boston, MA, United States",2024-09-15,22.3,17.3,19.1,22.3,17.3,19.1,13.8,72.1,0.0,4,0.0,,0,0,20.5,13.0,107.8,1027.9,17.6,16.2,245.1,21.3,7,10,2024-09-15T06:24:43,2024-09-15T18:53:06,0.42,Clear,Clear conditions throughout the day.,clear-day,
3,"Boston, MA, United States",2024-09-16,25.6,15.3,20.4,25.6,15.3,20.4,12.2,61.5,0.0,0,0.0,,0,0,20.5,11.9,195.5,1026.0,4.3,19.6,250.0,21.8,6,10,2024-09-16T06:25:46,2024-09-16T18:51:19,0.45,Clear,Clear conditions throughout the day.,clear-day,
4,"Boston, MA, United States",2024-09-17,27.3,17.0,21.9,27.1,17.0,21.8,13.4,60.3,0.0,2,0.0,,0,0,18.4,10.1,207.1,1022.8,22.0,24.1,232.8,20.2,6,10,2024-09-17T06:26:50,2024-09-17T18:49:33,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
5,"Boston, MA, United States",2024-09-18,25.3,18.0,21.5,25.3,18.0,21.5,14.9,67.0,0.0,10,0.0,,0,0,18.0,10.4,166.2,1019.9,58.0,24.1,165.5,14.2,5,10,2024-09-18T06:27:53,2024-09-18T18:47:47,0.52,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
6,"Boston, MA, United States",2024-09-19,22.7,18.6,20.7,22.7,18.6,20.7,15.7,73.4,7.2,13,16.67,rain,0,0,20.9,12.2,78.8,1014.6,63.0,24.1,18.3,1.7,1,10,2024-09-19T06:28:57,2024-09-19T18:46:01,0.55,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
7,"Boston, MA, United States",2024-09-20,19.3,16.6,18.4,19.3,16.6,18.4,14.3,76.8,0.3,11,4.17,rain,0,0,27.0,17.3,40.6,1017.4,49.9,24.1,13.5,1.0,0,10,2024-09-20T06:30:01,2024-09-20T18:44:14,0.59,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
