Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-10-22 04:00:00-04:00,417.86,418.47,417.62,417.67,0,0.0,0.0
2024-10-22 05:00:00-04:00,417.42,417.53,416.11,416.42,0,0.0,0.0
2024-10-22 06:00:00-04:00,416.42,417.59,416.42,417.01,0,0.0,0.0
2024-10-22 07:00:00-04:00,417.14,418.78,417.12,418.0,0,0.0,0.0
2024-10-22 08:00:00-04:00,418.6802,419.3492,416.26,418.88,0,0.0,0.0
2024-10-22 09:00:00-04:00,418.97,420.18,416.52,418.47,0,0.0,0.0
2024-10-22 09:30:00-04:00,419.0,428.3800048828125,418.04791259765625,428.07000732421875,7236367,0.0,0.0
2024-10-22 10:30:00-04:00,428.1400146484375,429.4200134277344,426.04998779296875,426.2099914550781,3137660,0.0,0.0
2024-10-22 11:30:00-04:00,426.20001220703125,427.5400085449219,425.7300109863281,425.92999267578125,1554613,0.0,0.0
2024-10-22 12:30:00-04:00,425.92999267578125,427.760009765625,425.760009765625,427.3500061035156,1064219,0.0,0.0
2024-10-22 13:30:00-04:00,427.3900146484375,430.57000732421875,427.1600036621094,429.69500732421875,1914903,0.0,0.0
2024-10-22 14:30:00-04:00,429.7200012207031,429.7898864746094,428.6579895019531,429.1600036621094,1208801,0.0,0.0
2024-10-22 15:30:00-04:00,429.1199951171875,429.9049987792969,427.3999938964844,427.4599914550781,2404315,0.0,0.0
2024-10-22 16:00:00-04:00,427.51,456.3333,398.9084,427.32,3490747,0.0,0.0
2024-10-22 17:00:00-04:00,427.3,456.3333,403.618,426.83,0,0.0,0.0
2024-10-22 18:00:00-04:00,426.95,427.51,426.02,426.82,0,0.0,0.0
2024-10-22 19:00:00-04:00,426.82,427.24,426.65,426.8,0,0.0,0.0
