,datetime,description,icon
0,2024-10-21,Becoming cloudy in the afternoon.,partly-cloudy-day
1,2024-10-22,Clear conditions throughout the day.,clear-day
2,2024-10-23,Clear conditions throughout the day.,clear-day
3,2024-10-24,Partly cloudy throughout the day.,partly-cloudy-day
4,2024-10-25,Clear conditions throughout the day.,clear-day
5,2024-10-26,Partly cloudy throughout the day.,partly-cloudy-day
6,2024-10-27,Clear conditions throughout the day.,clear-day
7,2024-10-28,Clear conditions throughout the day.,clear-day
