,datetime,tempmin,temp,tempmax
0,2024-10-21,11.7,19.6,27.9
1,2024-10-22,14.5,17.0,21.1
2,2024-10-23,13.9,16.9,20.6
3,2024-10-24,11.9,14.5,17.1
4,2024-10-25,8.5,11.6,14.3
5,2024-10-26,10.5,12.9,15.8
6,2024-10-27,6.6,9.0,10.9
7,2024-10-28,3.8,7.2,10.7
