Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-10-22 04:00:00-04:00,218.16,218.43,217.19,217.4,0,0.0,0.0
2024-10-22 05:00:00-04:00,217.36,217.37,216.67,216.8,0,0.0,0.0
2024-10-22 06:00:00-04:00,216.8,217.3,216.7,217.04,0,0.0,0.0
2024-10-22 07:00:00-04:00,217.1,217.59,216.97,217.23,0,0.0,0.0
2024-10-22 08:00:00-04:00,217.15,218.4596,216.6707,217.76,0,0.0,0.0
2024-10-22 09:00:00-04:00,217.7072,220.06,215.935,217.05,0,0.0,0.0
2024-10-22 09:30:00-04:00,217.0635986328125,217.85000610351562,215.83999633789062,216.68389892578125,13148098,0.0,0.0
2024-10-22 10:30:00-04:00,216.68499755859375,217.44000244140625,215.5500030517578,216.27999877929688,8018988,0.0,0.0
2024-10-22 11:30:00-04:00,216.3000030517578,216.42999267578125,215.25999450683594,215.57530212402344,4974741,0.0,0.0
2024-10-22 12:30:00-04:00,215.57000732421875,216.83999633789062,215.5,216.6999969482422,3976804,0.0,0.0
2024-10-22 13:30:00-04:00,216.6840057373047,218.1396026611328,216.39439392089844,217.73199462890625,4668562,0.0,0.0
2024-10-22 14:30:00-04:00,217.73500061035156,217.8800048828125,217.0,217.85499572753906,3186237,0.0,0.0
2024-10-22 15:30:00-04:00,217.85000610351562,218.1999969482422,217.52000427246094,217.91000366210938,2966370,0.0,0.0
2024-10-22 16:00:00-04:00,217.97,232.1995,213.3132,217.77,1302081,0.0,0.0
2024-10-22 17:00:00-04:00,217.8,217.97,217.36,217.435,0,0.0,0.0
2024-10-22 18:00:00-04:00,217.44,217.53,217.27,217.42,0,0.0,0.0
2024-10-22 19:00:00-04:00,217.4,217.58,217.38,217.49,0,0.0,0.0
